t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0,-4,0,20,4,0,0
0.05,-3.79657765539066,0.00165762250778803,20.0064645041733,4.13675328854094,0.0663249281077837,0.258649313177496
0.1,-3.58633890277737,0.00663472883941615,20.0258718529295,4.27265270469372,0.132784028772902,0.51771389603158
0.15,-3.36932698078516,0.0149387326006612,20.0582428249232,4.4076763946631,0.199405576134248,0.777194319221576
0.2,-3.14558622889303,0.0265784729534453,20.1035982216717,4.54180217553918,0.266218330354592,1.03709092161924
0.25,-2.91516210426868,0.0415642407547206,20.161958855202,4.67500752020146,0.333251611735936,1.29740377941453
0.3,-2.67810119934781,0.0599078084966524,20.2333455340953,4.80726954264513,0.400535378745665,1.55813267279454
0.35,-2.43445126013415,0.0816224642575076,20.3177790477959,4.93856498385427,0.468100310517136,1.81927704982859
0.4,-2.18426120518903,0.106723049902258,20.4152801490367,5.06887019836702,0.535977894446749,2.08083598715222
0.45,-1.927581145272,0.135226003804664,20.5258695342097,5.19816114170368,0.604200519577402,2.34280814699459
0.5,-1.6644624035843,0.167149408399029,20.6495678214855,5.32641335885921,0.672801576536875,2.60519173003708
0.55,-1.39495753655624,0.20251304291044,20.7863955264599,5.45360197409914,0.741815564890992,2.86798442352328
0.6,-1.11912035510633,0.241338441657916,20.9363730350733,5.57970168234198,0.81127820887737,3.13118334396115
0.65,-0.837005946284807,0.28364895837617,21.0995205735152,5.70468674246506,0.881226582608833,3.3947849736643
0.7,-0.548670695195586,0.329469837059625,21.2758581747834,5.82853097293355,0.951699245978963,3.6587850902679
0.75,-0.254172307068898,0.378828289898032,21.4654056415231,5.95120775022903,1.0227363926696,3.92317868822348
0.8,0.0464301706690368,0.431753582947807,21.668182504717,6.07269001064367,1.09438001185564,4.18795989112067
0.85,0.353076326514008,0.488277130268505,21.8842079777337,6.19295025611506,1.16667406543136,4.45312185349762
0.9,0.665704363411017,0.54843259735165,22.1135009051732,6.31196056490526,1.23966468285174,4.71865665058043
0.95,0.984251077956145,0.612256014781459,22.356079705859,6.42969260808311,1.31340037599832,4.98455515412528
1,1.30865184059104,0.679785903196603,22.6119623092315,6.54611767295414,1.38793227685346,5.25080689221771
1.05,1.63884057717056,0.75106341077207,22.8811660842785,6.66120669480569,1.46331440120891,5.51739989049684
1.1,1.97474975235897,0.826132464614251,23.163707760001,6.77493029860305,1.53960394216067,5.78432049180431
1.15,2.31631035539985,0.905039937665158,23.4596033362486,6.88725885259588,1.61686159776794,6.0515531506876
1.2,2.66345188891207,0.987835832948749,23.7688679835653,6.99816253618439,1.69515193800285,6.31908019848945
1.25,3.01610236149324,1.07457348727041,24.0915159304484,7.10761142486661,1.77454381701565,6.58688157389724
1.3,3.37418828506691,1.16530979680806,24.4275603361458,7.21557559565977,1.85511083782025,6.85493451276556
1.35,3.73763467809621,1.26010546742017,24.7770131467728,7.32202525708153,1.93693187781087,7.12321318970702
1.4,4.10636507601118,1.35902529295482,25.1398849321162,7.42693090861856,2.02009168510164,7.39168830229848
1.45,4.48030155046834,1.46213846539,25.5161846999847,7.53026353563316,2.10468155760572,7.66032658667777
1.5,4.85936473938846,1.56951892128799,25.9059196843427,7.63199484690359,2.19080011911774,7.92909025068362
1.55,5.24347389011521,1.68124572982903,26.3090951026888,7.73209756350928,2.27855420953951,8.19793630735149
1.6,5.63254691851718,1.79740352863229,26.7257138771816,7.83054576961734,2.36805990992035,8.46681578729395
1.65,6.02650048743827,1.91808301470995,27.1557763128083,7.92731533797133,2.45944372733575,8.73567280296076
1.7,6.42525010860714,2.04338149928168,27.5992797243672,8.02238444560953,2.55284397000304,9.00444343057256
1.75,6.82871027297286,2.17340353685681,28.0562180021044,8.11573419864292,2.64841234968481,9.27305436607731
1.8,7.23679461547203,2.30826164104264,28.5265811033592,8.20734938890617,2.74631585667287,9.54142129899189
1.85,7.64941612148893,2.44807710204828,29.0103544543756,8.29721941006768,2.84673896285607,9.80944693134354
1.9,8.06648738378721,2.59298092393322,29.5075182422616,8.38533936644576,2.94988622100244,10.0770185465397
1.95,8.48792092051571,2.74311490343152,30.018046571602,8.47171141439468,3.05598534393286,10.3440050026223
2,8.91362956706887,2.89863287682586,30.5419064529696,8.55634638368072,3.16529086624565,10.610252982784
2.05,9.34352695715908,3.05970216703268,31.079056580862,8.6392657345886,3.27808851408859,10.875582278575
2.1,9.77752811146075,3.22650526998856,31.6294458454778,8.72050391509264,3.39470043525613,11.1397798011325
2.15,10.2155501556041,3.39924182778134,32.1930115048536,8.80011119023679,3.51549147188336,11.4025919030775
2.2,10.6575081759585,3.5781326860963,32.7696775898931,8.81708011638058,3.61598441660776,11.5837711873196
2.25,11.1002891806234,3.76216609489305,33.3553527168478,8.73260306591349,3.67828180535225,11.6280646134089
2.3,11.5388700955634,3.94942003919678,33.9431815704096,8.650324118628,3.74351060515178,11.6686769169345
2.35,11.973368797546,4.14004590451904,34.5329725743223,8.57053723568638,3.8118097612946,11.70538328443
2.4,12.4039176852953,4.33420309279084,35.1245217395272,8.49353989899429,3.88336657402924,11.7379403660056
2.45,12.8306614416842,4.53206447548068,35.7176105202653,8.41956658325289,3.95855476089646,11.7660844275041
2.5,13.2537601627618,4.73381809060072,36.31200689456,8.34897215623004,4.03758820057085,11.7895099752749
2.55,13.6733769374495,4.93964323901659,36.9074222539276,8.2829662708319,4.11982532267869,11.8076038664446
2.6,14.0896810203429,5.14958207872298,37.5033999723472,8.22347393527929,4.20318250148678,11.8198025912017
2.65,14.502982947504,5.36365953599538,38.0995959525227,8.17068631108124,4.28747110041815,11.8261353268508
2.7,14.9136155550478,5.58191699379305,38.6957034876745,8.12462525164767,4.37277971761092,11.8266335895528
2.75,15.3219169472008,5.80440562591446,39.2914322784078,8.08515246392131,4.4592323981577,11.8214024571693
2.8,15.7282182682393,6.03118281153811,39.8864974758247,8.05213500262341,4.54694674138877,11.8105206164039
2.85,16.1328439149888,6.26231162671543,40.4806181942898,8.02544885920081,4.63602659004364,11.7940420579529
2.9,16.5361121271053,6.49785988616698,41.0735163335997,8.00498104813017,4.72655562437858,11.7719985707072
2.95,16.9383356033022,6.73789962464846,41.6649159631857,7.99062043894576,4.81860929085442,11.7444024753409
3,17.3398213299558,6.98250667856833,42.2545420891071,7.98225487484711,4.91225742976221,11.7112481852587
3.05,17.7408705165957,7.2317604030313,42.8421197486935,7.97977047634792,5.00756411340358,11.6725132167395
3.1,18.1417785023603,7.48574338197959,43.4273731588904,7.98305096447833,5.10458742239225,11.6281591211032
3.15,18.5428346308693,7.74454112649468,44.0100249095953,7.99197700491377,5.20337916478977,11.5781323545882
3.2,18.9443220946858,8.00824175847831,44.5897951991848,8.00642557825529,5.30398453886472,11.5223650988564
3.25,19.3465172420137,8.27693514889151,45.1663999917274,8.02627699182387,5.40643967126098,11.4607716900536
3.3,19.7496895216842,8.55071234097708,45.739549957483,8.05141173661735,5.51077197307089,11.3932506910134
3.35,20.1541012066101,8.8296649317013,46.3089494125293,8.08170808053735,5.61700055817609,11.3196863574229
3.4,20.5600081338589,9.11388540147361,46.8742971670783,8.11703491746411,5.72513852094135,11.2399525383652
3.45,20.9676592803355,9.40346680484248,47.4352860010702,8.15725263020625,5.83519204953567,11.1539124647824
